STATION_NAME,STATION_ID,Longitude,Latitude,Date,Value (mm)
Beitbridge,67991,29.99187,-22.21045,15/04/2024,5.2
BuffaloRange,67977,31.58,-21.02,15/04/2024,21.5
BulawayoApt,67965,28.62,-20.02,15/04/2024,27.9
BulawayoGoetz,67964,28.62,-20.15,15/04/2024,42.3
Chipinge,67983,32.62,-20.2,15/04/2024,39.5
Gokwe,67861,28.93,-18.22,15/04/2024,16.5
Gweru,67867,29.85,-19.45,15/04/2024,20.7
HarareBvdre,67774,31.02,-17.83,15/04/2024,59.6
HarareKutsaga,67775,31.13,-17.92,15/04/2024,15.4
Hwange NP,67853,27,-18.63,15/04/2024,40.9
Kadoma,67869,29.88,-18.32,15/04/2024,2.3
Kariba,67761,28.88,-16.52,15/04/2024,16.5
Karoi,67765,29.62,-16.83,15/04/2024,36.2
Masvingo,67975,30.87,-20.07,15/04/2024,0.1
Mt Darwin,67779,31.58,-16.78,15/04/2024,32.8
Rusape,67881,32.13,-18.53,15/04/2024,4.1
Victoria Falls,67843,25.851314,-18.09539,15/04/2024,73.9
West Nicholson,67969,29.37,-21.05,15/04/2024,18.6
