STATION_ID,7,Date,Value (mm),Value (mm)
67991,7,15/04/2024,5.2,5.2
67977,7,15/04/2024,21.5,21.5
67965,7,15/04/2024,27.9,27.9
67964,7,15/04/2024,42.3,42.3
67983,7,15/04/2024,39.5,39.5
67861,7,15/04/2024,16.5,16.5
67867,7,15/04/2024,20.7,20.7
67774,7,15/04/2024,59.6,59.6
67775,7,15/04/2024,15.4,15.4
67853,7,15/04/2024,40.9,40.9
67869,7,15/04/2024,2.3,2.3
67761,7,15/04/2024,16.5,16.5
67765,7,15/04/2024,36.2,36.2
67975,7,15/04/2024,0.1,0.1
67779,7,15/04/2024,32.8,32.8
67881,7,15/04/2024,4.1,4.1
67843,7,15/04/2024,73.9,73.9
67969,7,15/04/2024,18.6,18.6
