STATION_ID,7,date,Value (mm),Value (mm)
67761,7,2024-10-15,16,16
67765,7,2024-10-15,29.6,29.6
67774,7,2024-10-15,24.7,24.7
67775,7,2024-10-15,16.4,16.4
67779,7,2024-10-15,10.4,10.4
67843,7,2024-10-15,7.7,7.7
67853,7,2024-10-15,6.8,6.8
67861,7,2024-10-15,10.8,10.8
67867,7,2024-10-15,41.2,41.2
67869,7,2024-10-15,12.2,12.2
67881,7,2024-10-15,41.1,41.1
67964,7,2024-10-15,10.7,10.7
67965,7,2024-10-15,27.7,27.7
67969,7,2024-10-15,5,5
67975,7,2024-10-15,8.2,8.2
67977,7,2024-10-15,5,5
67983,7,2024-10-15,11.3,11.3
67991,7,2024-10-15,7.9,7.9
