station_seqnum,date,Total,Num_obs,filled_value,who_entered
1380001,2025-05-15,1.8,30,1.86,7
1380003,2025-05-15,0,30,0,7
1380038,2025-05-15,1.4,30,1.446666667,7
1380005,2025-05-15,0.7,30,0.723333333,7
1380007,2025-05-15,17.6,30,18.18666667,7
1380010,2025-05-15,0,27,0,7
1380012,2025-05-15,3.9,29,4.168965517,7
1380013,2025-05-15,1.3,30,1.343333333,7
1380014,2025-05-15,2.4,30,2.48,7
1380016,2025-05-15,0,25,0,7
1380017,2025-05-15,0,28,0,7
1380019,2025-05-15,3.1,29,3.313793103,7
1380020,2025-05-15,11.7,27,13.43333333,7
1380023,2025-05-15,0.4,30,0.413333333,7
1380027,2025-05-15,0,28,0,7
1380032,2025-05-15,6.2,28,6.864285714,7
1380033,2025-05-15,5.6,30,5.786666667,7
1380035,2025-05-15,0.1,30,0.103333333,7
